text,fraud_status
The company reported stable revenues consistent with historical trends.,non-fraud
Business development costs are properly recorded as expenses.,non-fraud
Revenue was recognized in accordance with standard accounting practices.,non-fraud
Financial ratios are calculated based on accurate data.,non-fraud
The company reported stable revenues consistent with historical trends.,non-fraud
Payments and expenses are recorded accurately without discrepancies.,non-fraud
The inventory records are accurate and match physical counts.,non-fraud
Revenue is reported in the correct accounting periods.,non-fraud
Sales figures are accurately reported without manipulation.,non-fraud
Revenue is reported in the correct accounting periods.,non-fraud
Financial documents were audited and found to be accurate.,non-fraud
Expenses were fraudulently categorized as business development costs.,fraud
The assets reported on the balance sheet are verified and exist.,non-fraud
Sales transactions are accurately recorded in the financial statement.,non-fraud
Financial ratios are calculated based on accurate data.,non-fraud
All expenses are properly categorized and recorded.,non-fraud
All expenses are properly categorized and recorded.,non-fraud
The company reported stable revenues consistent with historical trends.,non-fraud
The financial statement shows fabricated sales transactions.,fraud
The company reported non-existent assets to enhance its financial position.,fraud
Revenue was recognized in accordance with standard accounting practices.,non-fraud
Revenue recognition is supported by proper documentation.,non-fraud
The value of assets is fairly reported in the financial statements.,non-fraud
Payments and expenses are recorded accurately without discrepancies.,non-fraud
All related-party transactions are fully disclosed.,non-fraud
The assets reported on the balance sheet are verified and exist.,non-fraud
Expenses were understated by capitalizing them as assets.,fraud
The company used off-balance-sheet entities to hide debt.,fraud
There were unauthorized transactions recorded in the financial books.,fraud
The assets reported on the balance sheet are verified and exist.,non-fraud
The inventory records are accurate and match physical counts.,non-fraud
Financial records accurately reflect all expenses and liabilities.,non-fraud
All related-party transactions are fully disclosed.,non-fraud
There was intentional misstatement of cash flow records.,fraud
Payments and expenses are recorded accurately without discrepancies.,non-fraud
Cash flow records are accurate and reflect actual cash movements.,non-fraud
Revenue was recognized prematurely before the actual sales occurred.,fraud
All expenses are properly categorized and recorded.,non-fraud
The company reported inflated revenues by including sales that never occurred.,fraud
Cash flow records are accurate and reflect actual cash movements.,non-fraud
The value of assets is fairly reported in the financial statements.,non-fraud
The financial statement shows significant discrepancies in inventory records.,fraud
The value of assets is fairly reported in the financial statements.,non-fraud
Payments and expenses are recorded accurately without discrepancies.,non-fraud
The companyâ€™s debt is fully disclosed on the balance sheet.,non-fraud
Sales figures are accurately reported without manipulation.,non-fraud
The inventory records are accurate and match physical counts.,non-fraud
Financial records accurately reflect all expenses and liabilities.,non-fraud
Cash flow records are accurate and reflect actual cash movements.,non-fraud
The company manipulated financial ratios to meet loan covenants.,fraud
All related-party transactions are fully disclosed.,non-fraud
The assets reported on the balance sheet are verified and exist.,non-fraud
Sales transactions are accurately recorded in the financial statement.,non-fraud
Financial documents were audited and found to be accurate.,non-fraud
Business development costs are properly recorded as expenses.,non-fraud
Payments and expenses are recorded accurately without discrepancies.,non-fraud
All expenses are properly categorized and recorded.,non-fraud
The value of assets is fairly reported in the financial statements.,non-fraud
There were multiple instances of duplicate payments recorded as expenses.,fraud
Significant amounts of revenue were recognized without proper documentation.,fraud
The company inflated the value of its assets to attract investors.,fraud
All expenses are properly categorized and recorded.,non-fraud
The company engaged in channel stuffing to inflate sales figures.,fraud
Financial ratios are calculated based on accurate data.,non-fraud
The inventory records are accurate and match physical counts.,non-fraud
Financial records were manipulated to hide the true state of expenses.,fraud
Revenue recognition is supported by proper documentation.,non-fraud
Revenue is reported in the correct accounting periods.,non-fraud
Revenue from future periods was reported in the current period.,fraud
Financial ratios are calculated based on accurate data.,non-fraud
The company falsified financial documents to secure a larger loan.,fraud
The company failed to report significant liabilities on its balance sheet.,fraud
The inventory records are accurate and match physical counts.,non-fraud
Revenue recognition is supported by proper documentation.,non-fraud
The company reported stable revenues consistent with historical trends.,non-fraud
Revenue recognition is supported by proper documentation.,non-fraud
Significant related-party transactions were not disclosed.,fraud
Cash flow records are accurate and reflect actual cash movements.,non-fraud
The inventory records are accurate and match physical counts.,non-fraud
Cash flow records are accurate and reflect actual cash movements.,non-fraud
